analysis_label,feature_set,r2_mean,r2_std,r2_count,mape_pct_mean,mape_pct_std,mape_pct_count,rmse_mean,rmse_std,rmse_count,rmse_q3_mean,rmse_q3_std,rmse_q3_count,rmse_q3_iqr2_mean,rmse_q3_iqr2_std,rmse_q3_iqr2_count
ANN,A_all_21,0.9511032468375389,0.014168222986015692,10,12.408685576491203,1.9026925734328508,10,22535.180056928883,2792.7238899735457,10,36683.00795405816,6181.17957590692,10,44127.65835573785,6870.66414881259,10
ANN,B_no_component_costs,0.720939196684222,0.19561454760209504,10,31.42278800070332,13.156221346996775,10,52162.710033256175,16372.118224942398,10,80359.3887227865,28246.78372107749,10,96034.7574522352,30985.229424781628,10
ANN,C_physical_quantity,0.7961631910530383,0.06682400290992867,10,28.308024728293173,5.234422039426247,10,46628.99168659824,10829.680896597325,10,76461.80386178379,21164.709871791034,10,92549.75385661621,25301.671917154697,10
CatBoost,A_all_21,0.8835206581142012,0.061962964410251405,10,14.748889431345594,1.6967104239212742,10,35246.8321348096,12613.844216488389,10,60927.48864266057,26657.80709935034,10,73876.56232740215,32606.841130103327,10
CatBoost,B_no_component_costs,0.8045743350396934,0.0786170675105902,10,27.3056409294457,5.112750458023691,10,46001.72327406429,13346.528371115324,10,77087.33630210398,29851.911320951396,10,93331.34388332322,36040.23434153621,10
CatBoost,C_physical_quantity,0.8080348932450697,0.08379848927854038,10,27.053090067776985,4.493124112169355,10,45513.98279456763,13959.331649939233,10,75536.80422079036,31060.120612269857,10,91446.80733702722,37851.16868934993,10
Monotonic GBM,A_all_21,0.8039737933143221,0.06344832091541072,10,20.957658715070142,4.873241430289345,10,45792.02702778501,11048.116557237325,10,74961.06191183194,23159.14739088514,10,89520.37493044998,28677.37691983188,10
Monotonic GBM,B_no_component_costs,0.7135073419563913,0.08342922278861957,10,34.022218701413536,8.402547807998525,10,55654.860712282105,13112.557956856052,10,88686.57613607179,30897.11159738422,10,106305.30429211678,37629.59626754905,10
Monotonic GBM,C_physical_quantity,0.7270453493598396,0.09771766075336769,10,33.586924770766316,8.83607436696465,10,54089.26328612872,14290.811415053835,10,84695.79822976694,33112.324149860724,10,100735.18000518843,40578.838760286126,10
Two-stage TL | training-selected,A_all_21,0.9201464955534954,0.036989356288231835,10,14.812288489628191,4.1262010889285765,10,28235.223926902538,6185.863445013032,10,46984.23952494886,13033.07565964159,10,55808.01937520986,14667.84658043355,10
Two-stage TL | training-selected,B_no_component_costs,0.7390340822371833,0.13939597474796192,10,32.58143855935408,9.296036339909712,10,51186.06597123049,10046.775782802128,10,76540.73858882874,18325.849014242576,10,90026.60058046614,23510.443660617042,10
Two-stage TL | training-selected,C_physical_quantity,0.7183437603595896,0.15502272935914635,10,31.140302591075073,9.504712672648546,10,52853.82479307575,9521.683058375134,10,82918.04925325829,17575.581596092143,10,97296.34655137287,22137.898254734708,10
XGBoost,A_all_21,0.8577213730281933,0.045261275440359024,10,16.24746889050441,1.8878122461293687,10,39241.725631784255,9887.261747337045,10,68316.22987388265,19819.382010782374,10,81946.4041562405,24353.09695723733,10
XGBoost,B_no_component_costs,0.787743531620772,0.08199653750046099,10,28.510463393131396,4.861008891727547,10,47353.568553478006,10991.303648050887,10,76579.89766948046,27232.326266482873,10,92015.32507131631,31645.93733836658,10
XGBoost,C_physical_quantity,0.8005934206175824,0.10165891700109918,10,27.964194819036017,6.600207568670453,10,45648.84976910634,13550.32916339511,10,73869.61500256324,31755.820884164183,10,87865.1507703965,36784.46606407084,10
