feature_set,metric,effect,f_value,num_df,den_df,p_value,status,error
A_all_21,r2,cutoff_rule,2.6775144810690956,2.0,18.0,0.09594643756423157,complete,
A_all_21,r2,transfer_strategy,8.464064042773776,2.0,18.0,0.0025637445321870476,complete,
A_all_21,r2,cutoff_rule:transfer_strategy,6.600369073135122,4.0,36.0,0.0004317422102408587,complete,
A_all_21,mape_pct,cutoff_rule,2.9843731554977975,2.0,18.0,0.07597044614311957,complete,
A_all_21,mape_pct,transfer_strategy,7.175607717280331,2.0,18.0,0.005110190970020722,complete,
A_all_21,mape_pct,cutoff_rule:transfer_strategy,11.537813594423177,4.0,36.0,3.946262668603706e-06,complete,
A_all_21,rmse,cutoff_rule,2.1864504353864596,2.0,18.0,0.14123809802276216,complete,
A_all_21,rmse,transfer_strategy,7.090610718954296,2.0,18.0,0.005358334636101427,complete,
A_all_21,rmse,cutoff_rule:transfer_strategy,6.80889265368406,4.0,36.0,0.0003453633819548495,complete,
A_all_21,rmse_q3,cutoff_rule,2.291177482504011,2.0,18.0,0.1298761718015659,complete,
A_all_21,rmse_q3,transfer_strategy,5.518456428253411,2.0,18.0,0.013517568376686925,complete,
A_all_21,rmse_q3,cutoff_rule:transfer_strategy,4.405469338105567,4.0,36.0,0.005310125768891233,complete,
A_all_21,rmse_q3_iqr2,cutoff_rule,1.9488288773803757,2.0,18.0,0.17134584281488366,complete,
A_all_21,rmse_q3_iqr2,transfer_strategy,5.003323293452988,2.0,18.0,0.018711238994362767,complete,
A_all_21,rmse_q3_iqr2,cutoff_rule:transfer_strategy,4.1565371376918305,4.0,36.0,0.00719499009465036,complete,
B_no_component_costs,r2,cutoff_rule,1.0158683671619224,2.0,18.0,0.3819311767777121,complete,
B_no_component_costs,r2,transfer_strategy,9.491586538951278,2.0,18.0,0.0015325512837133734,complete,
B_no_component_costs,r2,cutoff_rule:transfer_strategy,2.323458021929122,4.0,36.0,0.07520226258841307,complete,
B_no_component_costs,mape_pct,cutoff_rule,2.6961286088216925,2.0,18.0,0.09458088409759512,complete,
B_no_component_costs,mape_pct,transfer_strategy,3.3933132392308947,2.0,18.0,0.056168877629205104,complete,
B_no_component_costs,mape_pct,cutoff_rule:transfer_strategy,0.7244902550559087,4.0,36.0,0.5809901471230701,complete,
B_no_component_costs,rmse,cutoff_rule,1.2174172527048917,2.0,18.0,0.3192364128659485,complete,
B_no_component_costs,rmse,transfer_strategy,9.066966721135275,2.0,18.0,0.0018889279097766124,complete,
B_no_component_costs,rmse,cutoff_rule:transfer_strategy,3.3581980929284985,4.0,36.0,0.01956063896404683,complete,
B_no_component_costs,rmse_q3,cutoff_rule,4.292491354343328,2.0,18.0,0.02990371233910644,complete,
B_no_component_costs,rmse_q3,transfer_strategy,8.276807399488902,2.0,18.0,0.002824952558534204,complete,
B_no_component_costs,rmse_q3,cutoff_rule:transfer_strategy,4.783544122255436,4.0,36.0,0.003373016731788303,complete,
B_no_component_costs,rmse_q3_iqr2,cutoff_rule,3.2284313407810243,2.0,18.0,0.06336447484753319,complete,
B_no_component_costs,rmse_q3_iqr2,transfer_strategy,8.19650506890384,2.0,18.0,0.002945919373290541,complete,
B_no_component_costs,rmse_q3_iqr2,cutoff_rule:transfer_strategy,4.391363101934908,4.0,36.0,0.005401755293148184,complete,
C_physical_quantity,r2,cutoff_rule,3.7585118843201903,2.0,18.0,0.04324962861223405,complete,
C_physical_quantity,r2,transfer_strategy,14.406520110783331,2.0,18.0,0.0001837176681766853,complete,
C_physical_quantity,r2,cutoff_rule:transfer_strategy,2.6348325094866527,4.0,36.0,0.04991480738952204,complete,
C_physical_quantity,mape_pct,cutoff_rule,4.318744477959191,2.0,18.0,0.029377376011307924,complete,
C_physical_quantity,mape_pct,transfer_strategy,4.400580175523486,2.0,18.0,0.027801624401664404,complete,
C_physical_quantity,mape_pct,cutoff_rule:transfer_strategy,2.629097200562102,4.0,36.0,0.05029165660943799,complete,
C_physical_quantity,rmse,cutoff_rule,2.6143741464726737,2.0,18.0,0.10074425138605544,complete,
C_physical_quantity,rmse,transfer_strategy,13.739061471613962,2.0,18.0,0.00023835801687801207,complete,
C_physical_quantity,rmse,cutoff_rule:transfer_strategy,3.3008314170371444,4.0,36.0,0.02104869303420803,complete,
C_physical_quantity,rmse_q3,cutoff_rule,2.8180582386437534,2.0,18.0,0.08615241431716125,complete,
C_physical_quantity,rmse_q3,transfer_strategy,11.96828992908205,2.0,18.0,0.0004944421294042672,complete,
C_physical_quantity,rmse_q3,cutoff_rule:transfer_strategy,5.6322733404828424,4.0,36.0,0.0012587754030146513,complete,
C_physical_quantity,rmse_q3_iqr2,cutoff_rule,2.250921343775589,2.0,18.0,0.13411883996308704,complete,
C_physical_quantity,rmse_q3_iqr2,transfer_strategy,12.693958448530736,2.0,18.0,0.0003640267924424418,complete,
C_physical_quantity,rmse_q3_iqr2,cutoff_rule:transfer_strategy,6.224954137373115,4.0,36.0,0.0006494435888733433,complete,
